Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2016,WA,PF,WA:2,0,129400,35449,0,0,3702,8868,2440,0,0,1539,4390,0,505,0,2450,0,90258,2149,0,0,322,187,1725,4325,2002,0,36948,0,571,29,18,0,0
2016,WM,PF,WM:Baja,0,0,0,0,55066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,WM,PF,WM:WestCoast,0,0,0,0,17324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,WY,PF,WY:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AK,PF,AK:Izembek,0,0,0,0,50316,0,0,0,29506,5856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AZ,PF,AZ:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AZ,PF,AZ:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,AZ,PF,AZ:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,CA,PF,CA:1,0,0,0,0,2570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,CA,PF,CA:2,0,130,13800,0,0,60,0,400,0,0,0,20,0,1200,0,0,0,9380,540,0,0,10000,0,0,0,0,0,200,0,0,0,0,0,0
2015,CA,PF,CA:3,0,456389,347574,401,0,3791,0,5935,0,0,258499,127,0,478632,0,0,0,142789,318,0,0,2292932,626712,377,54506,15152,12539,949,0,0,0,0,153,0
2015,CA,PF,CA:4,0,30522,40976,7,1795,6288,0,48778,0,0,1085,200,0,19041,0,0,0,6025,131,0,0,229479,45648,32,890,33474,4219,17608,2884,0,8387,0,109,0
2015,CA,PF,CA:5,0,113524,4434,241,0,808,0,11949,0,0,10377,83,0,30307,0,0,0,4411,785,0,0,16478,55905,53,1614,24363,407,3201,0,0,520,0,0,0
2015,CA,PF,CA:6,0,0,0,0,541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,CA,PF,CA:7,0,13883,1581,10,0,6,0,180,0,0,342,0,0,6495,0,0,0,1267,2,0,0,7959,34337,33,0,7751,290,62,0,0,7025,0,0,0
2015,CO,PF,CO:1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,CO,PF,CO:Brow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,ID,PF,ID:1,0,2429,71,0,0,949,295,0,0,0,0,128,0,0,0,0,0,949,14,0,0,1,12,0,0,0,0,0,0,0,0,0,10,0
2015,ID,PF,ID:2,0,0,348,0,0,41,3388,8,0,0,18,0,0,6,0,0,0,16101,7,0,0,17,20,128,4637,0,0,264,0,16,0,0,5,0
2015,ID,PF,ID:3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MT,PF,MT:1,0,3050,9,0,0,13,5908,0,0,0,5,369,0,33,0,0,0,17794,89,0,0,8,0,704,8,0,0,8,0,187,0,0,0,0
2015,MT,PF,MT:2,0,85,0,0,0,0,7158,0,0,0,33,324,0,0,0,0,0,4042,907,0,0,17,0,0,0,0,0,0,0,82,0,0,0,0
